기간,연료단가,,,,,열량단가,,,,,연료비단가,,,,
,원자력,유연탄,무연탄,유류,LNG,원자력,유연탄,무연탄,유류,LNG,원자력,유연탄,무연탄,유류,LNG
,원/kWh,원/ton,원/ton,원/kl,원/ton,원/Gcal,원/Gcal,원/Gcal,원/Gcal,원/Gcal,원/kWh,원/kWh,원/kWh,원/kWh,원/kWh
2022/12,6.368,328455.927,209214.252,1477537.51,1976708.988,2566.794,61854.066,44311.5,161972.124,151718.183,6.368,137.572,112.194,381.051,266.79
2022/11,6.37,295558.65,201385.222,1452600.455,1998426.807,2567.882,56400.131,43587,159000.565,153802.183,6.37,125.277,110.359,373.958,270.375
2022/10,6.367,305296.466,168023.211,1520785.049,1975472.425,2566.785,57603.469,47613.5,165930.149,151874.832,6.367,127.965,120.554,390.623,267.254
2022/09,6.347,307536.388,168171.238,1526182.326,1845367.274,2558.447,58218.514,48918.5,166114.255,141699.087,6.35,129.39,123.86,390.49,249.247
2022/08,6.348,309946.771,159307.397,1688821.651,1577135.898,2559.045,58803.507,46464.5,183240.286,121313.68,6.348,130.541,117.645,428.339,213.847
2022/07,6.353,269392.277,165093.583,1530888.814,1158488.042,2560.834,50898.659,38383.5,166598.638,89278.974,6.353,113.221,97.185,389.626,156.9
2022/06,6.354,244471.725,98871.888,1499384.267,1037494.994,2561.215,45803.891,30131,163332.54,79989.596,6.354,101.858,76.29,382.371,139.868
2022/05,6.362,243068.033,139762.612,1326662.474,1143351.745,2564.424,45535.298,75340.5,143913.471,83337.853,6.362,101.382,190.757,336.503,145.868
2022/04,6.359,240393.471,139762.612,1238532.393,1483673.233,2563.271,44267.46,32548.5,134566.379,114224.002,6.359,98.375,82.411,316.265,200.965
2022/03,6.363,217448.998,122161.361,1208213.859,1356559.264,2564.815,40727.268,31204.5,131384.652,104505.855,6.363,90.678,79.008,309.27,184.143
2022/02,6.363,206669.66,177305.97,1172445.172,1503431.7,2564.583,39107.08,34434.5,127758.576,115453.935,6.363,87.042,87.186,301.093,203.318
2022/01,6.363,192560.198,177305.97,908119.866,1166741.093,2564.746,35748.054,33991,95673.584,89717.422,6.363,79.307,86.063,224.672,158.074
